N_A,N_B,cost_yuan,inner_x,inner_p_hat,inner_ci_lower,inner_ci_upper,outer_x,outer_p_hat,outer_ci_lower,outer_ci_upper,strict_verdict,joint_inner_ci_lower,joint_inner_ci_upper,joint_outer_ci_lower,joint_outer_ci_upper,joint_strict_verdict
598,62,8.98060911942934,3455,0.86375,0.8527692207063423,0.874032784289399,3479,0.86975,0.8589637394589476,0.8798267522171359,reliably_insufficient,0.8467105351582312,0.8791656848005339,0.8530019959336398,0.8848474400244452,joint_reliably_insufficient
609,5,9.048388980930541,3511,0.87775,0.8672345235000068,0.8875406170831994,3532,0.883,0.872669798694896,0.8925952677336096,reliably_insufficient,0.8614079746538409,0.8924057493033372,0.8669359054479258,0.8973543825086572,joint_reliably_insufficient
608,14,9.04862460037956,3508,0.877,0.866458557905619,0.8868180218425445,3529,0.88225,0.8718929469321732,0.8918735586612896,reliably_insufficient,0.8606190334185934,0.8916980385386696,0.8661456178304657,0.8966480181262021,joint_reliably_insufficient
610,4,9.061557490136838,3515,0.87875,0.8682693366761564,0.8885038850204403,3536,0.884,0.873705804675507,0.8935573428663891,reliably_insufficient,0.862460188615621,0.8933490713414437,0.8679899316215759,0.8982958923348937,joint_reliably_insufficient
611,3,9.074725999343135,3524,0.881,0.8705984816993073,0.8906704225024177,3544,0.886,0.8757785246413141,0.8954807851273626,reliably_insufficient,0.8648289088908073,0.8954703070660023,0.8700990595061338,0.900177836450109,joint_undetermined
610,12,9.074961618792155,3523,0.88075,0.8703396314550743,0.8904297524683031,3544,0.886,0.8757785246413141,0.8954807851273626,reliably_insufficient,0.8645656321310095,0.8952346998258286,0.8700990595061338,0.900177836450109,joint_undetermined
609,21,9.075197238241175,3528,0.882,0.8716340252204983,0.891632960094617,3548,0.887,0.8768152440114286,0.8964421468706384,reliably_insufficient,0.8658822324932259,0.8964125194634703,0.8711541693716198,0.9011182625845096,joint_undetermined
617,1,9.160439118908576,3569,0.89225,0.8822620792849006,0.9014852374424658,3588,0.897,0.8871963089367354,0.9060418930792352,undetermined,0.8766996606791738,0.9060493352763604,0.8817263354624052,0.9105014564925906,joint_undetermined
619,0,9.188451653403087,3582,0.8955,0.8856374787281953,0.9046036016176897,3601,0.90025,0.8905759118807802,0.909156053753709,undetermined,0.8801379737784585,0.9090965141767073,0.8851710311640073,0.9135422527906201,joint_undetermined
