N_A,N_B,cost_yuan,inner_x,inner_p_hat,inner_ci_lower,inner_ci_upper,outer_x,outer_p_hat,outer_ci_lower,outer_ci_upper,strict_verdict,joint_inner_ci_lower,joint_inner_ci_upper,joint_outer_ci_lower,joint_outer_ci_upper,joint_strict_verdict
598,62,8.98060911942934,3501,0.87525,0.8646484466363924,0.8851314911633379,3521,0.88025,0.8698219734592767,0.8899483699074054,reliably_insufficient,0.8587788924736508,0.8900459914838106,0.8640391431704951,0.8947634207863994,joint_reliably_insufficient
609,5,9.048388980930541,3551,0.88775,0.8775929430368311,0.8971630086802789,3574,0.8935,0.8835599801287923,0.9026849379903119,undetermined,0.8719457440432483,0.9018233399127962,0.8780215881059272,0.9072218278494653,joint_undetermined
608,14,9.04862460037956,3548,0.887,0.8768152440114286,0.8964421468706384,3572,0.893,0.883040770843736,0.9022051067186733,undetermined,0.8711541693716198,0.9011182625845096,0.8774927428026277,0.9067529051528215,joint_undetermined
610,4,9.061557490136838,3555,0.88875,0.8786300900079824,0.8981239428225178,3577,0.89425,0.8843389174360835,0.9034045615180636,undetermined,0.8730015034111653,0.9027631165447658,0.8788150434225014,0.9079250245328062,joint_undetermined
611,3,9.074725999343135,3563,0.89075,0.8807051317900759,0.9000450632672051,3585,0.89625,0.8864168172814361,0.9053228238994917,undetermined,0.8751141580018018,0.9046415339539025,0.8809320383849221,0.9097991015701586,joint_undetermined
610,12,9.074961618792155,3563,0.89075,0.8807051317900759,0.9000450632672051,3586,0.8965,0.886676630749449,0.9055625307098263,undetermined,0.8751141580018018,0.9046415339539025,0.8811967781377257,0.9100332458173268,joint_undetermined
609,21,9.075197238241175,3568,0.892,0.8820025478640379,0.901245248584981,3589,0.89725,0.8874561737657667,0.9062815485285515,undetermined,0.8764353492243304,0.9058147627312323,0.8819911532003637,0.9107355227546037,joint_undetermined
617,1,9.160439118908576,3606,0.9015,0.891876558658597,0.9103530083676301,3627,0.90675,0.8973443436828719,0.9153751491886546,undetermined,0.8864971278957352,0.9147105760587504,0.8920744279222534,0.919609840031637,joint_undetermined
619,0,9.188451653403087,3618,0.9045,0.8949999849466845,0.9132238254197137,3639,0.90975,0.9004726357099984,0.9182411005016992,undetermined,0.8896826048083941,0.9175117071457515,0.895267289656239,0.9224035862973112,joint_undetermined
