N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper
16,2564,4.533527638640311,0,25,0.0,0.0,0.13319225276039096
16,3918,6.80217641355262,0,25,0.0,0.0,0.13319225276039096
16,4594,7.93482528492686,0,25,0.0,0.0,0.13319225276039096
16,4933,8.502825236695895,0,25,0.0,0.0,0.13319225276039096
16,5102,8.785987454539455,0,25,0.0,0.0,0.13319225276039096
16,5186,8.926730805420277,0,25,0.0,0.0,0.13319225276039096
16,5207,8.961916643140484,0,25,0.0,0.0,0.13319225276039096
16,5211,8.968618707468142,0,100,0.0,0.0,0.03699349876899627
16,5212,8.970294223550056,0,100,0.0,0.0,0.03699349876899627
16,5213,8.97196973963197,0,100,0.0,0.0,0.03699349876899627
16,5214,8.973645255713883,0,100,0.0,0.0,0.03699349876899627
16,5215,8.9753207717958,0,100,0.0,0.0,0.03699349876899627
16,5216,8.976996287877714,0,100,0.0,0.0,0.03699349876899627
16,5217,8.978671803959628,0,100,0.0,0.0,0.03699349876899627
16,5218,8.980347320041542,0,100,0.0,0.0,0.03699349876899627
16,5219,8.982022836123459,0,200,0.0,0.0,0.018845326668962936
16,5223,8.988724900451114,0,25,0.0,0.0,0.13319225276039096
16,5226,8.993751448696859,0,25,0.0,0.0,0.13319225276039096
16,5227,8.995426964778773,0,200,0.0,0.0,0.018845326668962936
16,5259,9.04904347940004,0,200,0.0,0.0,0.018845326668962936
16,5267,9.062447608055358,0,200,0.0,0.0,0.018845326668962936
16,5275,9.075851736710671,0,200,0.0,0.0,0.018845326668962936
17,2555,4.5332920191912915,0,25,0.0,0.0,0.13319225276039096
17,3909,6.8019407941036,0,25,0.0,0.0,0.13319225276039096
17,4585,7.934589665477841,0,25,0.0,0.0,0.13319225276039096
17,4924,8.502589617246874,0,25,0.0,0.0,0.13319225276039096
17,5093,8.785751835090435,0,25,0.0,0.0,0.13319225276039096
17,5177,8.926495185971257,0,25,0.0,0.0,0.13319225276039096
17,5199,8.963356539773377,0,25,0.0,0.0,0.13319225276039096
17,5202,8.968383088019122,0,100,0.0,0.0,0.03699349876899627
17,5203,8.970058604101036,0,100,0.0,0.0,0.03699349876899627
17,5204,8.971734120182951,0,100,0.0,0.0,0.03699349876899627
17,5205,8.973409636264865,0,100,0.0,0.0,0.03699349876899627
17,5206,8.97508515234678,0,100,0.0,0.0,0.03699349876899627
17,5207,8.976760668428694,0,100,0.0,0.0,0.03699349876899627
17,5208,8.978436184510608,0,100,0.0,0.0,0.03699349876899627
17,5209,8.980111700592524,0,100,0.0,0.0,0.03699349876899627
17,5210,8.981787216674437,0,200,0.0,0.0,0.018845326668962936
17,5214,8.988489281002096,0,25,0.0,0.0,0.13319225276039096
17,5217,8.99351582924784,0,25,0.0,0.0,0.13319225276039096
17,5218,8.995191345329754,0,200,0.0,0.0,0.018845326668962936
17,5250,9.04880785995102,0,200,0.0,0.0,0.018845326668962936
17,5258,9.062211988606336,0,200,0.0,0.0,0.018845326668962936
17,5266,9.075616117261653,0,200,0.0,0.0,0.018845326668962936
18,2547,4.534731915824186,0,25,0.0,0.0,0.13319225276039096
18,3900,6.801705174654581,0,25,0.0,0.0,0.13319225276039096
18,4576,7.934354046028821,0,25,0.0,0.0,0.13319225276039096
18,4915,8.502353997797856,0,25,0.0,0.0,0.13319225276039096
18,5084,8.785516215641417,0,25,0.0,0.0,0.13319225276039096
18,5169,8.927935082604154,0,25,0.0,0.0,0.13319225276039096
18,5190,8.963120920324359,0,25,0.0,0.0,0.13319225276039096
18,5193,8.968147468570104,0,100,0.0,0.0,0.03699349876899627
18,5194,8.969822984652017,0,100,0.0,0.0,0.03699349876899627
18,5195,8.971498500733933,0,100,0.0,0.0,0.03699349876899627
18,5196,8.973174016815847,0,100,0.0,0.0,0.03699349876899627
18,5197,8.97484953289776,0,100,0.0,0.0,0.03699349876899627
18,5198,8.976525048979676,0,100,0.0,0.0,0.03699349876899627
18,5199,8.97820056506159,0,100,0.0,0.0,0.03699349876899627
18,5200,8.979876081143505,0,100,0.0,0.0,0.03699349876899627
18,5201,8.981551597225419,0,200,0.0,0.0,0.018845326668962936
