case,uav_id,segment_id,from_id,to_id,path_type,depart_time,arrive_time,service_start,service_end,wait_seconds,distance_km,affected_zones
Case1,1,1,0,55,direct,0,1812,,,0,27.681221071332818,
Case1,1,2,55,28,direct,2112,4010,,,0,28.991378028648448,
Case1,1,3,28,23,direct,4310,5654,,,0,20.524375751773793,
Case1,1,4,23,54,direct,5954,8118,,,0,33.04920573932148,
Case1,1,5,54,11,direct,8418,8838,,,0,6.4031242374328485,
Case1,1,6,11,12,direct,9138,10339,,,0,18.34393632784414,
Case1,1,7,12,13,direct,10639,11184,,,0,8.32165848854662,
Case1,1,8,13,57,direct,11484,13499,,,0,30.777426793024787,
Case1,1,9,57,45,direct,13799,16189,,,0,36.5,
Case1,1,10,45,56,direct,16489,18879,,,0,36.5,
Case1,1,11,56,61,direct,19179,21384,,,0,33.67862823809782,
Case1,1,12,61,24,direct,21684,22175,,,0,7.5,
Case1,1,13,24,60,direct,22475,22966,,,0,7.5,
Case1,1,14,60,4,direct,23266,24705,,,0,21.982947936980608,
Case1,1,15,4,22,direct,25005,26428,,,0,21.73131381210073,
Case1,1,16,22,0,direct,26728,31183,,,0,68.06247130394253,
Case1,2,1,0,10,direct,0,1515,,,0,23.13547060251855,
Case1,2,2,10,42,direct,1815,4339,,,0,38.55191305240247,
Case1,2,3,42,32,direct,4639,5813,,,0,17.92344832893492,
Case1,2,4,32,67,direct,6113,6948,,,0,12.747548783981962,
Case1,2,5,67,25,direct,7248,7480,,,0,3.5355339059327378,
Case1,2,6,25,69,direct,7780,8012,,,0,3.5355339059327378,
Case1,2,7,69,59,direct,8312,9458,,,0,17.5,
Case1,2,8,59,63,direct,9758,10615,,,0,13.0862523283024,
Case1,2,9,63,65,direct,10915,11734,,,0,12.5,
Case1,2,10,65,33,direct,12034,12138,,,0,1.5811388300841898,
Case1,2,11,33,20,direct,12438,12804,,,0,5.5901699437494745,
Case1,2,12,20,7,direct,13104,13268,,,0,2.5,
Case1,2,13,7,18,direct,13568,13732,,,0,2.5,
Case1,2,14,18,58,direct,14032,15616,,,0,24.186773244895647,
Case1,2,15,58,6,direct,15916,17521,,,0,24.520399670478458,
Case1,2,16,6,8,direct,17821,18277,,,0,6.96419413859206,
Case1,2,17,8,19,direct,18577,18841,,,0,4.031128874149275,
Case1,2,18,19,49,direct,19141,19813,,,0,10.259142264341596,
Case1,2,19,49,51,direct,20113,20479,,,0,5.5901699437494745,
Case1,2,20,51,47,direct,20779,21127,,,0,5.315072906367325,
Case1,2,21,47,48,direct,21427,21526,,,0,1.5,
Case1,2,22,48,44,direct,21826,22631,,,0,12.298373876248844,
Case1,2,23,44,1,direct,22931,23524,,,0,9.055385138137417,
Case1,2,24,1,30,direct,23824,24126,,,0,4.6097722286464435,
Case1,2,25,30,43,direct,24426,25110,,,0,10.44030650891055,
Case1,2,26,43,26,direct,25410,26392,,,0,15.0,
Case1,2,27,26,9,direct,26692,29060,,,0,36.173194495371845,
Case1,2,28,9,3,direct,29360,29655,,,0,4.5,
Case1,2,29,3,0,direct,29955,31177,,,0,18.66815470259447,
Case1,3,1,0,41,direct,0,4478,,,0,68.41052550594829,
Case1,3,2,41,35,direct,4778,8436,,,0,55.87933428379404,
Case1,3,3,35,40,direct,8736,9777,,,0,15.890248582070704,
Case1,3,4,40,36,direct,10077,10798,,,0,11.01135777277262,
Case1,3,5,36,38,direct,11098,11819,,,0,11.01135777277262,
Case1,3,6,38,37,direct,12119,12840,,,0,11.01135777277262,
Case1,3,7,37,39,direct,13140,13861,,,0,11.01135777277262,
Case1,3,8,39,16,direct,14161,16084,,,0,29.364093720052047,
Case1,3,9,16,72,direct,16384,18208,,,0,27.865749586185547,
Case1,3,10,72,17,direct,18508,20596,,,0,31.89043743820395,
Case1,3,11,17,64,direct,20896,23285,,,0,36.49657518178932,
Case1,3,12,64,0,direct,23585,31255,,,0,117.18041645257965,
Case1,4,1,0,31,direct,0,4154,,,0,63.452738317585634,
Case1,4,2,31,68,direct,4454,5289,,,0,12.747548783981962,
Case1,4,3,68,21,direct,5589,6443,,,0,13.038404810405298,
Case1,4,4,21,62,direct,6743,7763,,,0,15.572411502397436,
Case1,4,5,62,34,direct,8063,9198,,,0,17.334935823359714,
Case1,4,6,34,15,direct,9498,11102,,,0,24.5,
Case1,4,7,15,71,direct,11402,12634,,,0,18.82153022471871,
Case1,4,8,71,14,direct,12934,14800,,,0,28.50438562747845,
Case1,4,9,14,70,direct,15100,16966,,,0,28.50438562747845,
Case1,4,10,70,5,direct,17266,19865,,,0,39.702015062210634,
Case1,4,11,5,50,direct,20165,21182,,,0,15.524174696260024,
Case1,4,12,50,53,direct,21482,21714,,,0,3.5355339059327378,
Case1,4,13,53,52,direct,22014,22294,,,0,4.272001872658765,
Case1,4,14,52,46,direct,22594,22978,,,0,5.852349955359813,
Case1,4,15,46,66,direct,23278,23967,,,0,10.51189802081432,
Case1,4,16,66,2,direct,24267,24687,,,0,6.4031242374328485,
Case1,4,17,2,29,direct,24987,25289,,,0,4.6097722286464435,
Case1,4,18,29,27,direct,25589,27230,,,0,25.059928172283335,
Case1,4,19,27,0,direct,27530,31153,,,0,55.33760023709015,
