case,uav_id,segment_id,from_id,to_id,path_type,depart_time,arrive_time,service_start,service_end,wait_seconds,distance_km,affected_zones
Case2,1,1,0,85,direct,0,996,,,0,15.211837495845135,
Case2,1,2,85,29,direct,1296,1900,,,0,9.217917335276988,
Case2,1,3,29,51,direct,2200,2540,,,0,5.192301994298868,
Case2,1,4,51,44,direct,2840,3130,,,0,4.418144406874904,
Case2,1,5,44,38,direct,3430,3689,,,0,3.956008088970497,
Case2,1,6,38,28,direct,3989,4385,,,0,6.041522986797286,
Case2,1,7,28,39,direct,4685,5184,,,0,7.611832893594027,
Case2,1,8,39,56,direct,5484,6006,,,0,7.964923100695952,
Case2,1,9,56,34,direct,6306,6732,,,0,6.5069193939989765,
Case2,1,10,34,45,direct,7032,7271,,,0,3.6400549446402595,
Case2,1,11,45,30,direct,7571,7777,,,0,3.132091952673165,
Case2,1,12,30,127,detour,8077,9195,,,0,17.06001653885999,Z4
Case2,1,13,127,125,direct,9495,10012,,,0,7.885429601486529,
Case2,1,14,125,132,direct,10312,10738,,,0,6.499999999999999,
Case2,1,15,132,114,direct,11038,11202,,,0,2.5,
Case2,1,16,114,139,direct,11502,12049,,,0,8.34865258589672,
Case2,1,17,139,118,wait_direct,12389,12651,,,40,4.0024992192379,
Case2,1,18,118,92,direct,12951,13259,,,0,4.695742752749558,
Case2,1,19,92,111,direct,13559,13855,,,0,4.517742799230608,
Case2,1,20,111,119,direct,14155,14341,,,0,2.8319604517012573,
Case2,1,21,119,88,direct,14641,15073,,,0,6.585590330410782,
Case2,1,22,88,78,direct,15373,15518,,,0,2.200000000000001,
Case2,1,23,78,89,direct,15818,15963,,,0,2.200000000000001,
Case2,1,24,89,107,direct,16263,16560,,,0,4.527692569068707,
Case2,1,25,107,105,direct,16860,16944,,,0,1.280624847486568,
Case2,1,26,105,137,direct,17244,17606,,,0,5.522680508593631,
Case2,1,27,137,97,direct,17906,18266,,,0,5.5,
Case2,1,28,97,100,direct,18566,18612,,,0,0.7000000000000002,
Case2,1,29,100,120,direct,18912,19213,,,0,4.588027898781785,
Case2,1,30,120,104,direct,19513,19779,,,0,4.060788100849391,
Case2,1,31,104,93,direct,20079,20184,,,0,1.6000000000000014,
Case2,1,32,93,79,direct,20484,20619,,,0,2.0615528128088303,
Case2,1,33,79,91,direct,20919,21054,,,0,2.0615528128088303,
Case2,1,34,91,90,direct,21354,21425,,,0,1.0816653826391966,
