case,uav_id,segment_id,from_id,to_id,path_type,depart_time,arrive_time,service_start,service_end,wait_seconds,distance_km,affected_zones
Case3,3,25,52,134,direct,30949,31210,,,0,3.9783245544486427,
Case3,3,26,134,0,direct,31510,33818,,,0,35.247892304838444,
Case3,4,1,0,16,direct,0,2838,,,0,43.34530473903719,
Case3,4,2,16,92,direct,3138,4919,,,0,27.208616251842,
Case3,4,3,92,89,direct,5219,7143,,,0,29.383452833355044,
Case3,4,4,89,49,direct,7443,8900,,,0,22.256711765218157,
Case3,4,5,49,93,direct,9200,10091,,,0,13.60649627530909,
Case3,4,6,93,4,direct,10391,12005,,,0,24.654026150914987,
Case3,4,7,4,11,direct,12305,13981,,,0,25.6051645534646,
Case3,4,8,11,33,direct,14281,14558,,,0,4.231200420684424,
Case3,4,9,33,106,direct,14858,15111,,,0,3.856556725889046,
Case3,4,10,106,42,direct,15411,16303,,,0,13.613524603496343,
Case3,4,11,42,71,direct,16603,17559,,,0,14.591433941871513,
Case3,4,12,71,118,direct,17859,18324,,,0,7.101554717102452,
Case3,4,13,118,69,direct,18624,19089,,,0,7.101554717102452,
Case3,4,14,69,107,direct,19389,19637,,,0,3.7785669902755545,
Case3,4,15,107,27,direct,19937,20103,,,0,2.520837614762206,
Case3,4,16,27,124,direct,20403,20972,,,0,8.687238595203883,
Case3,4,17,124,135,direct,21272,21356,,,0,1.2804271865280026,
Case3,4,18,135,96,direct,21656,21863,,,0,3.152494504356815,
Case3,4,19,96,123,direct,22163,22428,,,0,4.042965636757249,
Case3,4,20,123,91,direct,22728,22828,,,0,1.5161844116069805,
Case3,4,21,91,122,direct,23128,23228,,,0,1.5161844116069805,
Case3,4,22,122,20,direct,23528,23810,,,0,4.303157920643863,
Case3,4,23,20,100,direct,24110,24947,,,0,12.779611873996801,
Case3,4,24,100,94,direct,25247,26744,,,0,22.861438111369985,
Case3,4,25,94,115,direct,27044,27688,,,0,9.825979028066367,
Case3,4,26,115,113,direct,27988,28426,,,0,6.677278038999127,
Case3,4,27,113,116,direct,28726,29164,,,0,6.677278038999127,
Case3,4,28,116,28,direct,29464,30451,,,0,15.077762927238242,
Case3,4,29,28,55,direct,30751,31081,,,0,5.039634634574221,
Case3,4,30,55,57,direct,31381,32258,,,0,13.395503491933404,
Case3,4,31,57,60,direct,32558,32993,,,0,6.635847937686637,
Case3,4,32,60,0,direct,33293,33876,,,0,8.898732600033558,
Case3,5,1,0,31,direct,0,755,,,0,11.53162638200267,
Case3,5,2,31,54,direct,1055,2197,,,0,17.438116912617026,
Case3,5,3,54,7,direct,2497,3332,,,0,12.756793705708343,
Case3,5,4,7,47,direct,3632,5111,,,0,22.584027987938736,
Case3,5,5,47,139,direct,5411,7034,,,0,24.78750549167866,
Case3,5,6,139,13,direct,7334,8385,,,0,16.045307630893216,
Case3,5,7,13,43,direct,8685,8957,,,0,4.147194835066234,
Case3,5,8,43,14,direct,9257,9529,,,0,4.147194835066234,
Case3,5,9,14,34,direct,9829,10611,,,0,11.940094688066743,
Case3,5,10,34,130,direct,10911,11153,,,0,3.696859588894345,
Case3,5,11,130,23,direct,11453,12437,,,0,15.027638698078949,
Case3,5,12,23,102,direct,12737,13455,,,0,10.96375733496505,
Case3,5,13,102,64,direct,13755,15233,,,0,22.57464370327912,
Case3,5,14,64,105,direct,15533,15723,,,0,2.889058562923221,
Case3,5,15,105,65,direct,16023,16213,,,0,2.889058562923221,
Case3,5,16,65,104,direct,16513,17797,,,0,19.61275069795157,
Case3,5,17,104,51,direct,18097,18536,,,0,6.698824069939428,
Case3,5,18,51,79,direct,18836,19300,,,0,7.078354224676818,
Case3,5,19,79,25,direct,19600,20238,,,0,9.745049222040898,
Case3,5,20,25,72,direct,20538,21121,,,0,8.896382794147295,
Case3,5,21,72,63,direct,21421,21453,,,0,0.47966643618248406,
Case3,5,22,63,83,direct,21753,21920,,,0,2.5453141593917357,
Case3,5,23,83,112,direct,22220,23795,,,0,24.050100838250135,
Case3,5,24,112,78,direct,24095,24522,,,0,6.511016661013852,
Case3,5,25,78,66,direct,24822,25471,,,0,9.90662237546178,
Case3,5,26,66,84,direct,25771,26429,,,0,10.044983765541884,
Case3,5,27,84,76,direct,26729,27799,,,0,16.336034057873405,
Case3,5,28,76,15,direct,28099,29262,,,0,17.766325918714877,
Case3,5,29,15,53,visibility,29562,31271,,,0,26.083736957416484,Z2
Case3,5,30,53,56,direct,31571,32145,,,0,8.768276984248391,
Case3,5,31,56,59,direct,32445,32880,,,0,6.635847937686637,
Case3,5,32,59,0,direct,33180,33763,,,0,8.898732600033558,
