case,uav_id,segment_id,from_id,to_id,path_type,depart_time,arrive_time,service_start,service_end,wait_seconds,distance_km,affected_zones
Case4,1,1,0,118,direct,0,163,,,0,2.485901715057589,
Case4,1,2,118,9,direct,463,1555,,,0,16.66966462890329,
Case4,1,3,9,110,direct,1855,4230,,,0,36.27006062049385,
Case4,1,4,110,51,direct,4530,4994,,,0,7.083447396203121,
Case4,1,5,51,67,direct,5294,6079,,,0,11.978759477510435,
Case4,1,6,67,101,direct,6379,6772,,,0,6.002026906541093,
Case4,1,7,101,129,direct,7072,7568,,,0,7.5673944358432035,
Case4,1,8,129,100,direct,7868,8364,,,0,7.5673944358432035,
Case4,1,9,100,18,direct,8664,10641,,,0,30.201720367212083,
Case4,1,10,18,31,direct,10941,11136,,,0,2.97064144848537,
Case4,1,11,31,20,direct,11436,11631,,,0,2.97064144848537,
Case4,1,12,20,30,direct,11931,12126,,,0,2.97064144848537,
Case4,1,13,30,124,direct,12426,13078,,,0,9.959629736546232,
Case4,1,14,124,153,direct,13378,13684,,,0,4.662526943539523,
Case4,1,15,153,123,direct,13984,14290,,,0,4.662526943539523,
Case4,1,16,123,138,direct,14590,15126,,,0,8.177293437653482,
Case4,1,17,138,154,direct,15426,15686,,,0,3.9576826569440358,
Case4,1,18,154,95,direct,15986,16412,,,0,6.499261490424626,
Case4,1,19,95,125,direct,16712,17443,,,0,11.161551008651559,
Case4,1,20,125,132,direct,17743,18004,,,0,3.9758823918830446,
Case4,1,21,132,39,direct,18304,18807,,,0,7.674041266968791,
Case4,1,22,39,19,direct,19107,19316,,,0,3.1861171066003995,
Case4,1,23,19,162,direct,19616,19924,,,0,4.700978109364978,
Case4,1,24,162,149,direct,20224,21273,,,0,16.023602874429166,
Case4,1,25,149,66,direct,21573,22032,,,0,6.998762247289087,
Case4,1,26,66,79,direct,22332,22378,,,0,0.7003581578903578,
Case4,1,27,79,68,direct,22678,22724,,,0,0.7003581578903578,
Case4,1,28,68,72,direct,23024,23264,,,0,3.6584932327792887,
Case4,1,29,72,167,direct,23564,23736,,,0,2.6224190399130065,
Case4,1,30,167,8,direct,24036,25102,,,0,16.277339807520164,
Case4,1,31,8,145,direct,25402,25597,,,0,2.9781607098386402,
Case4,1,32,145,82,direct,25897,26955,,,0,16.16116405052956,
Case4,1,33,82,70,direct,27255,27341,,,0,1.3017014526921518,
Case4,1,34,70,58,direct,27641,27927,,,0,4.354520551598712,
Case4,1,35,58,60,direct,28227,28431,,,0,3.1034947497704075,
Case4,1,36,60,5,direct,28731,29293,,,0,8.579320255493565,
Case4,1,37,5,47,direct,29593,29925,,,0,5.0710743371815665,
Case4,1,38,47,75,direct,30225,30540,,,0,4.811918582766684,
Case4,1,39,75,23,direct,30840,31338,,,0,7.60246502400708,
Case4,1,40,23,45,direct,31638,31851,,,0,3.243512107850773,
Case4,1,41,45,178,direct,32151,32831,,,0,10.388154922379627,
Case4,1,42,178,88,direct,33131,34576,,,0,22.062899630093565,
Case4,1,43,88,119,direct,34876,35387,,,0,7.797543161916811,
Case4,1,44,119,0,direct,35687,35850,,,0,2.485901715057589,
Case4,2,1,0,22,direct,0,2378,,,0,36.32756081911519,
Case4,2,2,22,13,direct,2678,3349,,,0,10.247911350722903,
Case4,2,3,13,6,direct,3649,3853,,,0,3.111113632571554,
Case4,2,4,6,152,direct,4153,4673,,,0,7.9434437938830635,
Case4,2,5,152,7,direct,4973,5493,,,0,7.9434437938830635,
Case4,2,6,7,179,direct,5793,6530,,,0,11.259309173766416,
Case4,2,7,179,156,direct,6830,7156,,,0,4.969371911022487,
Case4,2,8,156,164,direct,7456,7700,,,0,3.7268891526663572,
